시점,월별(1),혈액보유,혈액공급
2005,1월,28590,295201
2005,2월,27736,248238
2005,3월,29314,289939
2005,4월,33814,289119
2005,5월,32489,305595
2005,6월,37165,291218
2005,7월,29374,292052
2005,8월,24059,294085
2005,9월,21605,283435
2005,10월,14388,284159
2005,11월,15418,295069
2005,12월,25052,304869
2006,1월,17413,291781
2006,2월,18672,275827
2006,3월,20894,295059
2006,4월,28638,290359
2006,5월,25333,303404
2006,6월,28856,306691
2006,7월,20339,296574
2006,8월,14941,309526
2006,9월,10050,295958
2006,10월,7737,288690
2006,11월,8093,301116
2006,12월,10810,305132
2007,1월,10959,307093
2007,2월,22144,278678
2007,3월,20227,305175
2007,4월,21934,307370
2007,5월,25298,327221
2007,6월,36544,317990
2007,7월,34410,316331
2007,8월,23962,319789
2007,9월,12527,272196
2007,10월,10474,322912
2007,11월,12057,314777
2007,12월,11958,313932
2008,1월,14944,332986
2008,2월,26184,285329
2008,3월,22440,331893
2008,4월,27666,332227
2008,5월,30445,324106
2008,6월,38299,319365
2008,7월,33082,333510
2008,8월,29812,317276
2008,9월,32929,325179
2008,10월,26206,345772
2008,11월,23196,326289
2008,12월,23056,360972
2009,1월,15362,332885
2009,2월,16902,312365
2009,3월,19336,342571
2009,4월,24280,351444
2009,5월,32388,335839
2009,6월,48763,351371
2009,7월,45879,365642
2009,8월,44765,345174
2009,9월,38823,351816
2009,10월,23190,349967
2009,11월,24864,336257
2009,12월,38567,369866
2010,1월,24628,341314
2010,2월,35290,318722
2010,3월,25735,361631
2010,4월,23268,358394
2010,5월,29129,351379
2010,6월,45600,361678
2010,7월,50549,367372
2010,8월,56008,363483
2010,9월,60438,338705
2010,10월,42764,358948
2010,11월,41322,353701
2010,12월,35854,379959
2011,1월,24418,358121
2011,2월,24642,313879
2011,3월,19292,361805
2011,4월,21522,354817
2011,5월,28063,364306
2011,6월,35076,360338
2011,7월,20834,357905
2011,8월,16970,371220
2011,9월,13961,354176
2011,10월,13441,363025
2011,11월,18183,367646
2011,12월,19785,385901
2012,1월,14123,364027
2012,2월,24209,362220
2012,3월,19736,379804
2012,4월,18544,362517
2012,5월,30857,377542
2012,6월,38934,356923
2012,7월,32958,369510
2012,8월,30954,369951
2012,9월,22997,361734
2012,10월,18690,374299
2012,11월,24031,363198
2012,12월,27137,358231
2013,1월,23459,373031
2013,2월,28645,325713
2013,3월,19920,358656
2013,4월,34209,355727
2013,5월,39483,360455
2013,6월,44222,334096
2013,7월,33953,366285
2013,8월,38845,354257
2013,9월,39229,330934
2013,10월,22691,366261
2013,11월,35947,349911
2013,12월,36225,366820
2014,1월,31512,355911
2014,2월,23104,331030
2014,3월,21648,347421
2014,4월,26077,350763
2014,5월,36071,341545
2014,6월,44292,324758
2014,7월,38860,344637
2014,8월,43801,333338
2014,9월,32850,337666
2014,10월,25344,346389
2014,11월,29863,327623
2014,12월,29829,358402
2015,1월,24397,344607
2015,2월,27520,300941
2015,3월,19122,353485
2015,4월,20050,347929
2015,5월,28680,324384
2015,6월,32884,323117
2015,7월,38645,335265
2015,8월,31317,333433
2015,9월,26048,326695
2015,10월,17475,350679
2015,11월,21705,340035
2015,12월,16543,367629
2016,1월,15775,339909
2016,2월,16547,306370
2016,3월,15286,345017
2016,4월,15690,314654
2016,5월,27919,322486
2016,6월,27836,311776
2016,7월,21649,315588
2016,8월,20410,323753
2016,9월,15272,312295
2016,10월,21288,329529
2016,11월,24384,336171
2016,12월,23674,363027
2017,1월,19365,333045
2017,2월,18012,311419
2017,3월,21423,343662
2017,4월,19142,332556
2017,5월,28126,342121
2017,6월,37417,347622
2017,7월,27288,350347
2017,8월,37093,352625
2017,9월,24333,357649
2017,10월,18001,335172
2017,11월,17241,362859
2017,12월,21626,367441
2018,1월,20089,380232
2018,2월,18585,318059
2018,3월,20628,363517
2018,4월,18475,351250
2018,5월,25255,361018
2018,6월,28399,347549
2018,7월,18529,362276
2018,8월,17102,357887
2018,9월,18072,337155
2018,10월,13366,366077
2018,11월,21443,368834
2018,12월,23753,363908
2019,1월,17576,372577
2019,2월,19665,309863
2019,3월,15687,359434
2019,4월,14425,369403
2019,5월,18777,382731
2019,6월,25483,358298
2019,7월,19905,388062
2019,8월,17882,370420
2019,9월,14835,340306
2019,10월,14707,367214
2019,11월,18255,362323
2019,12월,21162,373501
2020,1월,16563,343058
2020,2월,16680,317634
2020,3월,18452,314199
2020,4월,16800,318516
2020,5월,17502,343116
2020,6월,19950,358082
2020,7월,20245,376093
2020,8월,24505,342947
2020,9월,19179,343432
2020,10월,17041,352442
2020,11월,16222,356251
2020,12월,14804,364020
2021,1월,16147,349237
2021,2월,15745,313874
2021,3월,14289,375829
2021,4월,13644,357903
2021,5월,16333,367529
2021,6월,16517,354807
2021,7월,13917,358534
2021,8월,13276,352346
2021,9월,14522,341239
2021,10월,14197,335129
2021,11월,16433,354183
2021,12월,24474,374931
2022,1월,19641,331234
2022,2월,14314,290443
2022,3월,14939,324258
2022,4월,16284,351459
2022,5월,31965,365730
2022,6월,40635,346753
2022,7월,33558,349360
2022,8월,22839,358327
2022,9월,26582,365809
2022,10월,21567,357967
2022,11월,22551,359777
2022,12월,23859,374895
