16~19技,20~29技,30~39技,40~49技,50~59技,60技捞惑
707262,1159926,283952,96611,24713,1872
760145,1137053,268633,106212,28333,2166
735107,954008,265217,102395,28682,2353
851751,1041009,296688,118905,35559,3272
897580,1136624,337950,148308,45440,4052
1029544,1094217,334406,151655,49342,5328
1058853,1025877,319345,154147,52259,6094
1048434,1094929,343187,169990,58730,7338
1058704,1231995,361414,187295,65933,9142
1074104,1308491,373562,211787,74625,10856
1048941,1325606,372243,237284,85267,13577
922574,1170314,387916,269853,99270,16403
913903,1166805,414103,300142,113927,19790
853433,1119821,427926,328103,130933,23054
800321,1017604,431188,358446,155645,27888
509626,945115,450991,445991,222222,37456
544176,918066,423354,440457,235723,42661
462186,970120,439078,463883,262920,50820
