15-24技,25-49技,50-64技,65技+
6869,20678,7094,4321
6690,20839,7404,4526
6565,20952,7692,4761
6509,21011,8067,4989
6522,20890,8490,5177
6568,20677,8964,5366
6644,20474,9532,5515
6705,20269,9883,5767
6744,20005,10266,6023
6747,19934,10575,6277
6734,19786,10924,6541
6692,19605,11300,6757
6512,19499,11560,7066
6318,19454,11852,7366
6125,19281,12221,7689
5911,19078,12390,8152
5625,18806,12599,8571
5378,18565,12732,9018
5196,18346,12830,9500
5029,18122,12878,10008
4855,17978,12776,10585
4742,17849,12589,11197
4703,17650,12514,11670
4690,17405,12382,12200
4651,17147,12381,12596
4649,16787,12377,13056
4643,16415,12385,13494
4573,16061,12406,13910
4438,15791,12349,14338
4308,15557,12133,14843
4156,15371,11911,15289
3949,15219,11656,15757
3739,15076,11420,16177
3524,14936,11176,16580
3326,14753,10965,16953
3122,14563,10836,17245
2944,14352,10755,17483
2823,14041,10747,17690
2752,13685,10736,17891
2720,13315,10701,18087
2726,12923,10590,18335
2760,12511,10479,18570
2814,12106,10344,18790
2887,11704,10248,18940
2974,11327,10186,19006
3063,10944,10183,19004
3134,10599,10153,18990
3184,10352,10057,18945
3214,10153,9935,18879
3225,9967,9796,18818
3220,9822,9611,18765
3201,9694,9409,18714
3172,9553,9170,18715
3133,9390,8951,18717
3088,9265,8712,18705
3037,9148,8475,18683
