"시점","월별(1)",농축적혈구
"2005","1월",28590
"2005","2월",27736
"2005","3월",29314
"2005","4월",33814
"2005","5월",32489
"2005","6월",37165
"2005","7월",29374
"2005","8월",24059
"2005","9월",21605
"2005","10월",14388
"2005","11월",15418
"2005","12월",25052
"2006","1월",17413
"2006","2월",18672
"2006","3월",20894
"2006","4월",28638
"2006","5월",25333
"2006","6월",28856
"2006","7월",20339
"2006","8월",14941
"2006","9월",10050
"2006","10월",7737
"2006","11월",8093
"2006","12월",10810
"2007","1월",10959
"2007","2월",22144
"2007","3월",20227
"2007","4월",21934
"2007","5월",25298
"2007","6월",36544
"2007","7월",34410
"2007","8월",23962
"2007","9월",12527
"2007","10월",10474
"2007","11월",12057
"2007","12월",11958
"2008","1월",14944
"2008","2월",26184
"2008","3월",22440
"2008","4월",27666
"2008","5월",30445
"2008","6월",38299
"2008","7월",33082
"2008","8월",29812
"2008","9월",32929
"2008","10월",26206
"2008","11월",23196
"2008","12월",23056
"2009","1월",15362
"2009","2월",16902
"2009","3월",19336
"2009","4월",24280
"2009","5월",32388
"2009","6월",48763
"2009","7월",45879
"2009","8월",44765
"2009","9월",38823
"2009","10월",23190
"2009","11월",24864
"2009","12월",38567
"2010","1월",24628
"2010","2월",35290
"2010","3월",25735
"2010","4월",23268
"2010","5월",29129
"2010","6월",45600
"2010","7월",50549
"2010","8월",56008
"2010","9월",60438
"2010","10월",42764
"2010","11월",41322
"2010","12월",35854
"2011","1월",24418
"2011","2월",24642
"2011","3월",19292
"2011","4월",21522
"2011","5월",28063
"2011","6월",35076
"2011","7월",20834
"2011","8월",16970
"2011","9월",13961
"2011","10월",13441
"2011","11월",18183
"2011","12월",19785
"2012","1월",14123
"2012","2월",24209
"2012","3월",19736
"2012","4월",18544
"2012","5월",30857
"2012","6월",38934
"2012","7월",32958
"2012","8월",30954
"2012","9월",22997
"2012","10월",18690
"2012","11월",24031
"2012","12월",27137
"2013","1월",23459
"2013","2월",28645
"2013","3월",19920
"2013","4월",34209
"2013","5월",39483
"2013","6월",44222
"2013","7월",33953
"2013","8월",38845
"2013","9월",39229
"2013","10월",22691
"2013","11월",35947
"2013","12월",36225
"2014","1월",31512
"2014","2월",23104
"2014","3월",21648
"2014","4월",26077
"2014","5월",36071
"2014","6월",44292
"2014","7월",38860
"2014","8월",43801
"2014","9월",32850
"2014","10월",25344
"2014","11월",29863
"2014","12월",29829
"2015","1월",24397
"2015","2월",27520
"2015","3월",19122
"2015","4월",20050
"2015","5월",28680
"2015","6월",32884
"2015","7월",38645
"2015","8월",31317
"2015","9월",26048
"2015","10월",17475
"2015","11월",21705
"2015","12월",16543
"2016","1월",15775
"2016","2월",16547
"2016","3월",15286
"2016","4월",15690
"2016","5월",27919
"2016","6월",27836
"2016","7월",21649
"2016","8월",20410
"2016","9월",15272
"2016","10월",21288
"2016","11월",24384
"2016","12월",23674
"2017","1월",19365
"2017","2월",18012
"2017","3월",21423
"2017","4월",19142
"2017","5월",28126
"2017","6월",37417
"2017","7월",27288
"2017","8월",37093
"2017","9월",24333
"2017","10월",18001
"2017","11월",17241
"2017","12월",21626
"2018","1월",20089
"2018","2월",18585
"2018","3월",20628
"2018","4월",18475
"2018","5월",25255
"2018","6월",28399
"2018","7월",18529
"2018","8월",17102
"2018","9월",18072
"2018","10월",13366
"2018","11월",21443
"2018","12월",23753
"2019","1월",17576
"2019","2월",19665
"2019","3월",15687
"2019","4월",14425
"2019","5월",18777
"2019","6월",25483
"2019","7월",19905
"2019","8월",17882
"2019","9월",14835
"2019","10월",14707
"2019","11월",18255
"2019","12월",21162
"2020","1월",16563
"2020","2월",16680
"2020","3월",18452
"2020","4월",16800
"2020","5월",17502
"2020","6월",19950
"2020","7월",20245
"2020","8월",24505
"2020","9월",19179
"2020","10월",17041
"2020","11월",16222
"2020","12월",14804
"2021","1월",16147
"2021","2월",15745
"2021","3월",14289
"2021","4월",13644
"2021","5월",16333
"2021","6월",16517
"2021","7월",13917
"2021","8월",13276
"2021","9월",14522
"2021","10월",14197
"2021","11월",16433
"2021","12월",24474
"2022","1월",19641
"2022","2월",14314
"2022","3월",14939
"2022","4월",16284
"2022","5월",31965
"2022","6월",40635
"2022","7월",33558
"2022","8월",22839
"2022","9월",26582
"2022","10월",21567
"2022","11월",22551
"2022","12월",23859
